流水號,主編號,屬性,又音
768,9933,又唸作,lōo-bué/lōo-bé
769,9934,又唸作,lōo-bué-tshiú/lōo-bé-tshiú
770,9937,又唸作,bak-tóo
771,9938,又唸作,bak-tóo-bué/bak-tóo-bé
772,9939,又唸作,bak-tóo-iau
773,9965,又唸作,bān-puan
774,9967,又唸作,lak-sui
775,9997,又唸作,tshe-tshau
776,10054,又唸作,póo-thinn
777,10073,又唸作,môo-khî
778,10073,又唸作,gôo-khî
779,10102,又唸作,uē-bú
780,10118,又唸作,uī-hóo-lān
781,10165,又唸作,kha-thâu-hu
782,10177,俗唸作,bū
784,10216,又唸作,lông-tshuan
785,10220,又唸作,lông-khū
786,10253,又唸作,lōo-thîng
787,10295,又唸作,liâng-á
788,10423,又唸作,tshiàm-uī
789,10430,又唸作,mā-bueh
790,10463,又唸作,tôo-tsu-kuán
791,10466,又唸作,thuân-uân
792,10471,又唸作,kuánn
793,10498,俗唸作,khím-sik
794,10505,又唸作,kuánn-hū
795,10513,俗唸作,tuì-siòng
796,10569,又唸作,tsîng
797,10573,又唸作,tsîng-á
798,10628,又唸作,muá-muá
799,10643,又唸作,suan
800,10646,又唸作,hah
801,10658,又唸作,ián-guân
802,10661,又唸作,suan-tháng
803,10668,又唸作,lo̍k-kôo-muâi
804,10683,又唸作,gî-gōo
805,10697,俗唸作,sik-sū
806,10699,又唸作,kann-siûnn
807,10710,又唸作,ka-ga̍k
808,10710,又唸作,kàm-ga̍k
809,10778,又唸作,tī-lang/tū-lang
810,10800,又唸作,uî-tshî
811,10826,又唸作,koo-hong
812,10826,又唸作,koo-hông
813,10831,又唸作,kô-kô-tînn
814,10833,又唸作,ko-io̍h
815,10869,又唸作,sueh-bîng/seh-bîng
816,10893,又唸作,kà
817,10905,又唸作,kànn-bú
818,10905,又唸作,kà-bú
819,10907,又唸作,sng-lam-tinn
820,10948,又唸作,tìm
821,10959,又唸作,líng-siū
822,10970,又唸作,tìm-thâu
823,10979,又唸作,tsiâu-tsn̂g
824,11009,又唸作,--hennh
825,11031,又唸作,hi-hi-hua-hua
826,11047,又唸作,huè
827,11055,又唸作,huè-tsí
828,11065,又唸作,tin-siu
829,11069,又唸作,huè-bu̍t
830,11072,又唸作,khuan-ān
831,11076,又唸作,siap-tia̍p
832,11081,又唸作,kóng-pò-kio̍k
833,11091,又唸作,thenn
834,11111,又唸作,thenn-tsûn
835,11112,俗唸作,uì-lô
836,11122,又唸作,lîn-bín
837,11123,又唸作,thenn-ko
841,11160,又唸作,pò-im
842,11163,又唸作,pò-sàng
843,11165,又唸作,puah-khui
845,11203,又唸作,piau-tì
846,11209,又唸作,phiau-tsún
847,11214,又唸作,piau-thâu
848,11235,又唸作,lūn-piánn-kauh
849,11255,又唸作,sán-thio
850,11262,又唸作,puânn-tshuì-kím
852,11353,又唸作,lân-tsiau
853,11368,又唸作,sat-bú
854,11385,又唸作,tsuī
855,11393,又唸作,uī-sing
856,11394,又唸作,uī-sing-tsuá
857,11396,又唸作,uī-tshenn/uī-tshinn
858,11402,又唸作,khò-thîng
859,11440,又唸作,ti-bú/tu-bú
860,11441,又唸作,ti-bú-ling-á/tu-bú-ni-á
861,11442,又唸作,ti-bú-tshài/tu-bú-tshài
862,11505,俗唸作,puê-sióng/pê-sióng
863,11538,又唸作,sik-tong
865,11575,又唸作,iúnn-tsú
866,11577,又唸作,iúnn-bó
867,11583,又唸作,khuà-huānn
868,11588,又唸作,iúnn--ê
869,11596,又唸作,iúnn-tshī
870,11599,又唸作,lāu
871,11620,又唸作,nāu-jia̍t/nāu-lia̍t
872,11631,又唸作,khì-khū
873,11668,又唸作,o̍h-liâu
874,11678,又唸作,tiak
875,11699,又唸作,pîng-liông-sim
876,11717,又唸作,tshiau-huân
877,11723,又唸作,tiak-sǹg-puânn
878,11727,又唸作,pîng-kì/pîng-kù
879,11739,又唸作,tshiū-bo̍k
880,11752,俗唸作,ki-hâi
881,11756,又唸作,tshiū-uāinn
882,11762,又唸作,ke-khì
883,11763,又唸作,ke-khì-tháng
884,11763,又唸作,ki-hì-tháng
885,11769,又唸作,kann-ná
886,11770,又唸作,huênn
887,11791,又唸作,ki̍k-lia̍t
888,11893,又唸作,hin
889,11922,又唸作,thǹg-tsiah-kha
890,11928,又唸作,thǹg-bak-theh
892,11942,又唸作,phiân
893,11960,又唸作,niau-mi
894,11974,又唸作,tshan-tshiūnn
895,12004,又唸作,tshénn-gōo/tshínn-gōo
896,12006,又唸作,uî-si
897,12054,又唸作,tshò-ngōo
898,12064,又唸作,siò
899,12075,又唸作,thâu-moo
900,12079,又唸作,thâu-mn̂g-ngeh-á
901,12091,又唸作,tha̍h-tú-á
902,12132,又唸作,ah-bú
903,12133,又唸作,ah-bú-tshuì
904,12134,又唸作,ah-bú-tê
905,12138,又唸作,lîng-be̍h
906,12139,又唸作,lîng-kut
907,12140,又唸作,gîng-gíng
908,12141,又唸作,gîng-gíng-kuann
909,12142,又唸作,liông-tsûn
910,12144,又唸作,ah-tsiáng
911,12150,又唸作,lîng-hōng
912,12151,又唸作,liông-hê
913,12159,又唸作,hennh
914,12167,又唸作,hennh-kiann
915,12178,又唸作,tshǹg
916,12187,又唸作,ìnn-bú-á
917,12193,俗唸作,hí-lāng
918,12205,又唸作,peh-khui
