主編號,屬性代號,詞目,音讀,文白,部首,部首序,方言差對應
404,1,乞食,khit-tsia̍h,,,,[方1]0579
405,1,口面,kháu-bīn,,,,[方1]0119
406,1,口音,kháu-im,,,,
407,1,乞食命,khit-tsia̍h-miā,,,,
408,1,大面神,tuā-bīn-sîn,,,,
409,1,乞食琴,khit-tsia̍h-khîm,,,,
410,1,乞食頭,khit-tsia̍h-thâu,,,,
411,1,土匪,thóo-huí,,,,
412,1,大厝,tuā-tshù,,,,
413,1,大哥,tuā-ko,,,,
414,1,低厝仔,kē-tshù-á,,,,
415,1,大娘姑,tuā-niû-koo,,,,[方1]0512
416,1,口座,kháu-tsō,,,,
417,1,土師,thóo-sai,,,,
418,1,大孫,tuā-sun,,,,
419,1,大家,ta-ke,,,,[方1]0515
420,1,子宮,tsú-kiong,,,,
421,1,山崁,suann-khàm,,,,
422,1,大家口,tuā-ke-kháu,,,,
423,1,大家官,ta-ke-kuann,,,,
424,1,子時,tsú-sî,,,,
425,1,上桌,tsiūnn-toh,,,,
426,1,口氣,kháu-khì,,,,
427,1,大氣,tāi-khì,,,,
428,1,大氣,tuā-khuì,,,,
429,1,大氣喘,tuā-khuì-tshuán,,,,[方1]0687
430,1,干涉,kan-sia̍p,,,,
431,1,低級,kē-kip,,,,
432,1,大陣,tuā tīn,,,,
433,1,小鬼仔殼,siáu-kuí-á-khak,,,,
434,1,三除四扣,sann-tû-sì-khàu,,,,
435,1,上崎,tsiūnn-kiā,,,,
436,1,山崙,suann-lūn,,,,
437,1,才情,tsâi-tsîng,,,,
438,1,三教,sam-kàu,,,,
439,1,下晝,ē-tàu,,,,[方1]0114
440,1,下晡,ē-poo,,,,[方1]0114
441,1,小票,sió-phiò,,,,
442,1,三絃,sam-hiân,,,,
443,1,大細,tuā-sè/tuā-suè,,,,
444,1,大細心,tuā-sè-sim/tuā-suè-sim,,,,
445,1,大細目,tuā-sè-ba̍k/tuā-suè-ba̍k,,,,
446,1,山頂,suann-tíng,,,,[方1]0104
447,1,工場,kang-tiûnn,,,,
448,1,大富,tuā-pù,,,,
449,1,大寒,tuā-kuânn,,,,
450,1,大富大貴,tuā-hù-tuā-kuì,,,,
451,1,大摒掃,tuā-piànn-sàu,,,,
452,1,上殕,tshiūnn-phú,,,,
453,1,下港,ē-káng,,,,
454,1,大港,tuā-káng,,,,
455,1,大湧,tuā-íng,,,,
456,1,干焦,kan-na,,,,
457,1,下痟,hā-siau,,,,
458,1,口琴,kháu-khîm,,,,
459,1,工程,kang-tîng,,,,
460,1,工程師,kang-tîng-su,,,,
461,1,上等,siōng-tíng,,,,
462,1,大筒,tuā-tâng,,,,
463,1,小等,sió-tán,,,,
464,1,土菝仔,thóo-pua̍t-á,,,,
465,1,上訴,siōng-sòo,,,,
467,1,大量,tāi-liōng,,,,
468,1,弓開,king--khui,,,,
469,1,凡勢,huān-sè,,,,
470,1,山勢,suann-sè,,,,
471,1,土想,thóo-siūnn,,,,
472,1,下暗,e-àm,,,,[方1]0220
473,1,工會,kang-huē,,,,
474,1,工業,kang-gia̍p,,,,
475,1,才會,tsiah ē,,,,
476,1,山溝,suann-kau,,,,
477,1,山盟海誓,san-bîng-hái-sè,,,,
478,1,下落,hē-lo̍h,,,,
479,1,千萬,tshian-bān,,,,
480,1,大腸,tuā-tn̂g,,,,
481,1,大舅,tuā-kū,,,,
482,1,小腸,sió-tn̂g,,,,
483,1,山腰,suann-io,,,,
484,1,大腹肚,tuā-pak-tóo,,,,[方1]0564
485,1,口試,kháu-tshì,,,,
486,1,下跤,ē-kha,,,,
487,1,土話,thóo-uē,,,,
488,1,大話,tuā-uē,,,,
489,1,山貉,suann-hô,,,,
490,1,山賊,suann-tsha̍t,,,,
491,1,山跤,suann-kha,,,,
492,1,下跤手人,ē-kha-tshiú-lâng,,,,
493,1,大跤胴,tuā-kha-tâng,,,,
494,1,三跤馬,sann-kha-bé,,,,
495,1,三跤貓,sann-kha-niau,,,,
496,1,低路,kē-lōo,,,,
497,1,大路,tuā-lōo,,,,
498,1,小路,sió-lōo,,,,
499,1,大道公,Tāi-tō-kong,,,,
500,1,三頓,sann tǹg,,,,
501,1,山雺,suann-bông,,,,
502,1,大鼓,tuā-kóo,,,,
503,1,大壽,tuā-siū,,,,
504,1,大漢,tuā-hàn,,,,
505,1,大箍,tuā-khoo,,,,[方1]0959
506,1,大箍呆,tuā-khoo-tai,,,,
507,1,上緊,siōng kín,,,,
508,1,大腿,tuā-thuí,,,,
509,1,大腿骨,tuā-thuí-kut,,,,
510,1,上蓋,siōng-kài,,,,
511,1,小說,sió-suat,,,,
512,1,大銀,tuā-gîn/tuā-gûn,,,,
513,1,小銀,sió-gîn/sió-gûn,,,,
514,1,亡魂,bông-hûn,,,,
515,1,大餅,tuā-piánn,,,,
516,1,三層,sam-tsân,,,,[方1]0353
517,1,工寮,kang-liâu,,,,
518,1,工廠,kang-tshiúnn,,,,
519,1,三層肉,sam-tsân-bah,,,,
520,1,大廣絃,tuā-kóng-hiân,,,,
521,1,小數,sió-sòo,,,,
522,1,干樂,kan-lo̍k,,,,[方1]0037
523,1,大熱,tuā-jua̍h/tuā-lua̍h,,,,
524,1,大範,tuā-pān,,,,
525,1,山線,suann-suànn,,,,
526,1,三線路,sam-suànn-lōo,,,,
527,1,上課,siōng-khò,,,,
528,1,工課,khang-khuè,,,,[方1]0571
529,1,才調,tsâi-tiāu,,,,
530,1,大賣,tuā-bē/tuā-buē,,,,
531,1,小賣,sió-bē/sió-buē,,,,
532,1,山豬,suann-ti/suann-tu,,,,
533,1,下輩,ē-puè,,,,
534,1,三輪車,sann-lián-tshia,,,,[方1]0595
535,1,下頦,ē-hâi,,,,[方1]0527
536,1,大學,tāi-ha̍k,,,,
537,1,小學,sió-ha̍k,,,,
538,1,弓蕉,king-tsio,,,,[方1]0308
539,1,弓蕉油,king-tsio-iû,,,,
540,1,山貓,suann-niau,,,,
541,1,口頭,kháu-thâu,,,,
542,1,山頭,suann-thâu,,,,
543,1,工頭,kang-thâu,,,,
544,1,上頭仔,siōng-thâu-á,,,,
545,1,大頭拇,tuā-thâu-bú,,,,[方1]1003
546,1,大頷胿,tuā-ām-kui,,,,
547,1,大頭菜,tuā-thâu-tshài,,,,[方1]0242
548,1,大戲,tuā-hì,,,,
549,1,山嶺,suann-niá,,,,
550,1,土檨仔,thóo-suāinn-á,,,,
551,1,上濟,siōng tsē/siōng tsuē,,,,
552,1,上聲,sióng-siann,,,,
553,1,大聲,tuā-siann,,,,
554,1,大膽,tuā-tánn,,,,
555,1,大聲話,tuā-siann-uē,,,,
556,1,下擺,ē-pái,,,,
557,1,小嬸,sió-tsím,,,,
558,1,土雞仔,thóo-ke-á/thóo-kue-á,,,,
559,1,下顎,ē-kok,,,,[方1]0527
560,1,工藝,kang-gē,,,,
561,1,下願,hē-guān,,,,
562,1,大龐,tuā-phiāng,,,,
563,1,大麵,tuā-mī,,,,
564,1,大欉,tuā-tsâng,,,,
565,1,大廳,tuā-thiann,,,,
566,1,不,put,,一,001-03-04,
567,1,丑,thiú,,一,001-03-04,
568,1,中,tìng,白,｜,002-03-04,
569,1,中,tiong,文,｜,002-03-04,[方]287
570,1,中,tiòng,文,｜,002-03-04,
571,1,丹,tan,,丶,003-03-04,
572,1,之,tsi,,丿,004-03-04,
573,1,予,hōo,,亅,006-03-04,[方]424
574,1,五,gōo,白,二,007-02-04,[方]020
575,1,五,ngóo,文,二,007-02-04,
576,1,井,tsénn/tsínn,白,二,007-02-04,[方]360
577,1,仁,jîn/lîn,,人,009-02-04,
578,1,仄,tseh,,人,009-02-04,
579,1,仆,phak,,人,009-02-04,
580,1,仇,siû,,人,009-02-04,
581,1,今,tann,替,人,009-02-04,[方1]0924
582,1,允,ín/ún,,儿,010-02-04,
583,1,內,lāi,白,入,011-02-04,
584,1,內,luē,文,入,011-02-04,
585,1,公,kang,白,八,012-02-04,
586,1,公,kong,文,八,012-02-04,
587,1,六,la̍k,白,八,012-02-04,
588,1,六,lio̍k,文,八,012-02-04,
589,1,冇,phànn,替,一,001-03-04,
590,1,冗,līng,,冖,014-02-04,[方1]0793
591,1,冗,liōng,,冖,014-02-04,
592,1,凶,hiong,,凵,017-02-04,
593,1,分,hun,文,刀,018-02-04,
594,1,分,pun,白,刀,018-02-04,
595,1,切,tshiat,,刀,018-02-04,[方1]0752
596,1,勻,ûn,替,勹,020-02-04,
597,1,勼,kiu,白,勹,020-02-04,
598,1,勾,kau,,勹,020-02-04,
599,1,內䘥仔,lāi-kah-á,,,,
600,1,中人,tiong-lâng,,,,
601,1,允人,ín--lâng/ún--lâng,,,,
602,1,不才,put-tsâi,,,,
603,1,內山,lāi-suann,,,,
