序號,方言差編碼,字目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
186,[方]108,卷,kńg,kńg,kńg,kuínn,kńg,kńg,kńg,kńg,kńg,kńg
187,[方]109,貫,kǹg,kǹg,kǹg,kuìnn,kǹg,kǹg,kǹg,kǹg,kǹg,kǹg
188,[方]110,糕,ko,ko,ko,ko,kor,kor,ko,ko,ko,ko
189,[方]111,篙,ko,ko,ko,ko,kor,kor,ko,ko,ko,ko
190,[方]124,關(～門),kuinn,kuinn,kuinn,kuainn,kuainn,kuainn,kuinn,kuinn,kuinn,kuainn
191,[方]125,稈,x,kuínn,kuínn,x,kuáinn,kuáinn,kuáinn,kuínn,kuáinn,x
192,[方]118,縣,kuǎn,kuān,kuāinn,kuān,kuān,kuān,kuāinn,kuān,kuīnn,kuān
193,[方]067,果,kér,kér,ké,kué,kué,kué,kér,ké,kér;ké,kué
194,[方]068,粿,kér,kér,ké,kué,kué,kué,kér,ké,kér;ké,kué
195,[方]069,跂,kér,kér,ké,kué,kué,kué,kér,ké,kér;ké,kué
196,[方]070,過,kèr,kèr,kè,kuè,kuè,kuè,kèr,kè,kèr;kè,kuè
197,[方]071,髻,kèr,kèr,kè,kuè,kuè,kuè,kèr,kè,kèr;kè,kuè
198,[方]072,鱖,kèr,kèr,kè,kuè,kuè,kuè,kèr,kè,kèr;kè,kuè
199,[方]073,郭,kerh,kerh,keh,kueh,kueh,kueh,kerh,keh,kerh;keh,kueh
200,[方]089,溪,khue,khere,khue,khe,khe,khe,khue,khue,khue,khe
201,[方]090,契,khuè,kherè,khuè,khè,khè,khè,khuè,khuè,khuè,khè
202,[方]091,瞌,khueh,khereh,khueh,kheh,kheh,kheh,khueh,khueh,khueh,kheh
203,[方]078,坑,khinn,khinn,khinn,khenn,khenn,khenn,khinn,khinn,khinn,khenn
204,[方]088,去,khìr,khìr,khù,khì,khì,khì,khìr,khù,khìr;khì,khì
205,[方]076,奇(私～),kha,khia,khia,khia,khia,khia,khia,khia,khia,khia
206,[方]092,勤,khûn,khîrn,khûn,khîn,khîn,khîn,khûn,khûn,khûn,khûn
207,[方]093,芹,khûn,khîrn,khûn,khîn,khîn,khîn,khûn,khûn,khûn,khûn
208,[方]077,虹,khǐng,khīng,khīng,khīng,khīng,khīng,khīng,khīng,khīng,khīng
209,[方]079,搝(拉),giú,khiú; giú,khiú; giú,khiú; giú,khiú; giú,khiú; giú,khiú; giú,khiú; giú,khiú; giú,khiú; giú
210,[方]080,腔,khiunn,khiunn,khiunn,khiunn,khionn,khiunn,khiunn,khiunn,khiunn,khiunn
211,[方]081,姜(孟～女),khiunn,khiunn,khiunn,khiunn,khionn,khiunn,khiunn,khiunn,khiunn,x
212,[方]082,噤(～喙),khiūnn,khiūnn,khiūnn,khiūnn,khiōnn,khiūnn,x,x,khiūnn,khiūnn
213,[方]083,勸,khǹg,khǹg,khǹg,khuìnn,khǹg,khǹg,khǹg,khǹg,khǹg,khǹg
214,[方]087,顎,kok,kok,khok,kok,kok; khok,kok,khok,khok,kok,x
215,[方]084,考,khónn,khó,khó,khó,khór,khór,khó,khó,khó,khó
216,[方]085,可,khónn,khó,khó,khó,khór,khór,khó,khó,khó,khó
217,[方]086,靠,khò,khò,khò,khò,khòr,khòr,khò,khò,khò,khò
218,[方]074,課(工～),khèr,khèr,khè,khuè,khuè,khuè,khèr,khè,khìr,khuè
219,[方]075,缺,kherh,kherh,kheh,khueh,khueh,khueh,kherh,kheh,kherh;kheh,khueh
220,[方]131,儡,lér,lér,lé,lé,lé,lé,lér,lé,lér;lé,lé
221,[方]145,犁,luê,lerê,luê,lê,lê,lê,luê,luê,luê,lê
222,[方]133,螺,lêr,lêr,lê,lê,lê,lê,lêr,lê,lêr;lê,lê
223,[方]146,鑢(鋸～),luě,lerē,luē,lē,lē,lē,luē,luē,luē,lē
224,[方]147,笠,lue̍h,lere̍h,lue̍h,le̍h,le̍h,le̍h,lue̍h,lue̍h,lue̍h,le̍h
225,[方]141,你,lír,lír,lú,lí,lí,lí,lír,lú,lí;lír,lí
226,[方]143,呂,lǐr,līr,lū,lī,lī,lī,līr,lū,līr;lū,lū
227,[方]144,慮,lǐr,līr,lū,lī,lī,lī,līr,lū,līr;lī,lū
228,[方]130,蓮,liân,liân,lân,liân,liân,liân,nâi,lân,liân,liân
229,[方]167,奶,lin,lin,ni,ling,ni,ling,lin,ni,lin,ling
230,[方]135,鴒,lǐng,līng,līng,līng,līng,līng,līng,līng,līng,līng
231,[方]136,楝,lǐng,līng,līng,līng,līng,līng,līng,līng,līng,līng
232,[方]139,羅,lô,lô,lô,lô,lôr,lôr,lô,lô,lô,lô
233,[方]142,女,lír,lír,lú,lí,lú,lú,lír,lú,lír;lí,lí
234,[方]151,搣,mi,mi,mi,me,me,me,mi,mi,mi,me
235,[方]152,暝,mî,mî,mî,mê,mê,mê,mî,mî,mî,mê
236,[方]149,罵,mǎ,mā,mā,mē,mē,mē,mā,mī,mā,mē
237,[方]013,萵(～仔菜),er,er,e,ue,gor,meh,er,o,er,ue
238,[方]150,脈,me̍h,me̍h,me̍h,me̍h,me̍h,me̍h,be̍h,me̍h,be̍h,me̍h;mē
239,[方]153,毛,mn̂g,mn̂g,mn̂g,moo,moo; mn̂g,mn̂g,mn̂g,mn̂g,mn̂g,mn̂g
240,[方]154,門,mn̂g,mn̂g,mn̂g,muî,mn̂g,mn̂g,mn̂g,mn̂g,mn̂g,mn̂g
241,[方]155,問,mňg,mn̄g,mn̄g,muī,mn̄g,mn̄g,mn̄g,mn̄g,mn̄g,mn̄g
242,[方]156,謀,biô,biô,môo,môo,bôo; biôr,môo,bôo,bôo,biô,môo
243,[方]002,糜,bêr,bêr,bê,muê,muâi,muâi,bêr,bê,bêr;bê,muê
244,[方]148,梅(～仔),m̂,m̂,m̂,buê,muâi,muê,m̂,m̂,m̂;muî,muê;buê
245,[方]038,媒(～人),hm̂,hm̂,hm̂,muê,hm̂; muâi,muê,hm̂,hûn,hm̂,muê
246,[方]004,妹,běr,bēr,bē,muē,muē,muē,bēr,bē,bēr;bē,muē
247,[方]168,晾,nî,nê,nî,nê,nê,nê,nî,nî,nî,nê
248,[方]170,躡,nih,nih,nih,neh,neh,neh,nih,nih,nih,neh
249,[方]157,掩,ng,ng,ng,uinn,ng,ng,ng,ng,ng,ng
250,[方]158,阮,ńg,ńg,ńg,uínn,ńg,ńg,ńg,ńg,ńg,ńg
251,[方]159,䘼,ńg,ńg,ńg,uínn,ńg,ńg,ńg,ńg,ńg,ńg
252,[方]160,捥,ńg,ńg,ńg,uínn,ńg,ńg,áinn,áinn;ńg,ńg,ńg
253,[方]161,鈗,ńg,ńg,ńg,uínn,ńg,ńg,ńg,ńg,ńg,ńg
254,[方]162,黃,n̂g,n̂g,n̂g,uînn,n̂g,n̂g,n̂g,n̂g,n̂g,n̂g
255,[方]182,兩,nňg,nn̄g,nn̄g,nn̄g,nn̄g,nn̄g,nn̄g,nn̄g,nn̄g,nn̄g
256,[方]165,硬,ngǐ,ngī,ngī,ngē,ngē,ngē,ngī,ngī,ngī,ngē
