華語,詞條編號,詞條名稱
丙,1304,丙
丟,13584,㧒
丟,5005,挕
丟,3954,抨
丟,12515,擲
丟,3215,抌
丟人現眼,7609,現世
丟人現眼,7950,連回
丟人現眼,3667,卸面皮
丟人現眼,3639,卸世眾
丟失,4120,拍無去
丟失,4000,拍毋見
丟掉,5052,挕掉
丟掉,4120,拍無去
丟掉,4000,拍毋見
丟掉,1645,失
丟掉,12523,擲㧒捔
丟棄,4085,放捒
丟臉,7609,現世
丟臉,3464,見笑代
丟臉,9998,落臉
丟臉,3667,卸面皮
丟臉,1843,失體面
並,3532,並
並且,2644,而且
並且,50067,並且
丫鬟,5112,查某𡢃
中,568,中
中,569,中
中,570,中
中人,771,公親
中人,600,中人
中傷,9572,搬話
中傷,745,中傷
中元,608,中元
中元節,608,中元
中區,52918,中區
中區,35364,中區
中午,7934,透中晝
中午,722,中晝
中午,723,中晝時
中午,5646,食晝
中南海,53948,中南海
中南美,53947,中南美
中原,53950,中原
中古,640,中古
中古貨,85,二手
中和,673,中和
中和市,35029,中和市
中國,50058,中國
中型,52337,中型
中央,50210,中央
中央公園,36089,中央公園
中央尖山,32013,中央尖山
中央山脈,32012,中央山脈
中學,769,中學
中山,36029,中山
中山區,35005,中山區
中山區,35356,中山區
中山國中,36001,中山國中
中年,293,上卌袂攝
中年,51608,中年
中庭,7544,深井
中式,52111,中式
中彈,9045,著銃
中心,621,中心
中性,52917,中性
中意,3580,佮意
中意,10208,過目
中意,10624,滿意
中意,751,中意
中指,684,中指
中文,10648,漢文
中文,10651,漢字
中文,50498,中文
中旬,659,中旬
中暑,8950,翕熱
中暑,11265,熱著
中暑,9040,著痧
中期,52919,中期
中校,52112,中校
中樞,52339,中樞
中止,53384,中止
中正,51767,中正
中正區,35006,中正區
中正區,35352,中正區
中正紀念堂,36032,中正紀念堂
中毒,687,中毒
中油,52608,中油
中生代,51607,中生代
中用,647,中用
中秋月餅,694,中秋餅
中秋節,691,中秋
中秋節,693,中秋節
中立,648,中立
中等,736,中等
中美,53949,中美
中興,8362,復興
中藥,10672,漢藥
中藥,53386,中藥
中藥鋪,10673,漢藥店
中西,53946,中西
中西區,35379,中西區
中計,695,中計
中途,1592,半路
中途,1439,半中站
中途,728,中途
中選,161,入選
中選會,53385,中選會
中部,50552,中部
中醫,10671,漢醫
中醫,775,中醫
中鋒,52920,中鋒
中間,741,中間
中間,13644,中央
中間部位,9889,腹
中音,51609,中音
中風,697,中風
中風,12535,斷腦筋
中餐,724,中晝飯
串,7316,捾
串,7314,捻
串,4206,枇
串,13000,攕
串,2863,串
串,2864,串
串聯,54081,串聯
串通,6857,鬥空
串通,5881,套
串通,2934,串通
丸,180,丸
丸子,280,丸仔
丹,571,丹
丹大山,32011,丹大山
丹毒,688,丹毒
丹田,649,丹田
丹藥,12874,藥丹
主,1305,主
主人,1323,主人
主任,1332,主任
主位,279,大爿
主位,322,大位
主力,50684,主力
主動,1363,主動
主唱,52945,主唱
主因,51112,主因
主委,50480,主委
主婚,1364,主婚
主婦,1365,主婦
主宰,52357,主宰
主將,53437,主將
主導,50534,主導
主席,1359,主席
主張,1366,主張
主意,1375,主意
主持,2583,扞頭
主持,1352,主持
主播,54000,主播
主教,51937,主教
主旨,3849,宗旨
主機,50655,主機
主機板,50351,主機板
主權,1385,主權
主治,51488,主治
主流,50606,主流
主演,50817,主演
主管,1379,主管
主編,53439,主編
主義,1376,主義
主菜,53438,主菜
主要,1357,主要
主見,1337,主見
主觀,52625,主觀
主角,1338,主角
主講,52946,主講
主辦,1381,主辦
主辦祭祀典禮的人,13012,爐主
主題,50126,主題
主顧,1384,主顧
主食,53999,主食
主體,51773,主體
丼,1306,丼
久,181,久
久久,235,久久
久仰,307,久仰
久病,382,久長病
久而久之,345,久來
久而久之,2302,年久月深
久違,336,久見
么,5907,屘
么,182,么
么兒,3088,尾仔囝
之,572,之
之中,51357,之中
之前,9144,進前
之外,50298,之外
之後,8641,然後
之後,120,了後
之間,50186,之間
乎,1308,乎
乏,1309,乏
乏味,8710,無議量
乏地,11251,瘦田
乒乓球,31122,phin35 phong51
乖,3534,乖
乖巧,3554,乖巧
乘勢,7771,紲拍
乘勢,9302,順勢
乘機,9302,順勢
乙,45,乙
九,48,九
九,49,九
九,41002,九
九份二山,32001,九份二山
九塊厝,40008,九塊厝
九如鄉,35287,九如鄉
九孔,84,九孔
九層塔,157,九層塔
九曲堂,34095,九曲堂
九泉,9278,黃泉
九芎林,40004,九芎林
九芎樹,111,九芎仔
乞,183,乞
乞丐,404,乞食
乞丐命,407,乞食命
乞丐頭子,410,乞食頭
乞求,4805,哀求
乞祭餘,6079,挹墓粿
也,184,也
也,2052,亦
也,10417,嘛
也好,315,也好
也就是說,7299,徛算講
也是,393,也是
也是,10424,嘛是
也行,315,也好
也要,10430,嘛欲
也許,8633,無定著
也許,469,凡勢
乩童,8806,童乩
乳名,311,小名
乳房,1647,奶
乳癌,1830,奶癌
乳缽,5360,研缽
乳缽,11709,擂缽
乳頭,1824,奶頭
乾,6929,乾
乾,6930,乾
乾,6928,乾
乾,7807,脯
乾,8590,焦
乾兒子,4850,契囝
乾媽,4849,契母
乾巴巴,8668,焦涸涸
乾料,8653,焦料
乾旱,3227,旱
乾杯,6929,乾
乾杯,54767,乾杯
乾枯,7134,堅乾
乾枯,11359,蔫
乾洗,8644,焦洗
乾涸,8668,焦涸涸
乾淨,7568,清氣
乾淨,7589,清潔
乾燥,6929,乾
乾燥,8702,焦燥
乾爹,4852,契爸
乾爽,8707,焦鬆
乾癟,7823,脯脯
乾脆,7893,規氣
乾脆,31009,at3 sa55 lih3
亂,4442,花
亂,9312,亂
亂,9372,亂操操
亂七八糟,4488,花巴哩貓
亂七八糟,4242,東倒西歪
亂七八糟,53760,亂七八糟
亂世,9337,亂世
亂世,866,天反地亂
亂來,12251,濫使
亂來,6268,烏白來
亂彈,9371,亂彈
亂搞,6268,烏白來
亂源,54474,亂源
亂碼,54475,亂碼
亂葬崗,9390,塚山
亂象,53213,亂象
了,3350,矣
了不得,719,不得了
了不起,52906,了不起
了結,53919,了結
了解,50035,了解
予,573,予
事,3535,事
事,1318,代
事,3536,事
事主,3549,事主
事先,1333,代先
事先,52157,事先
事先聲明,4173,放聲
事務,3574,事務
事務所,3575,事務所
事宜,51803,事宜
事實,3586,事實
事後,3569,事後
事後承認,6790,追認
事情,528,工課
事情,3559,事件
事情,1318,代
事情,1380,代誌
事情,3561,事志
事故,2668,百百空
事故,51965,事故
事業,3581,事業
事物,50540,事物
事理,3576,事理
事緩則圓,10796,緊事寬辦
事蹟,51804,事蹟
事項,3559,事件
事項,50977,事項
二,51,二
二,3599,兩
二二八公園,33001,二二八公園
二仁溪,38042,二仁溪
二八水,40001,二八水
二十一,827,廿一
二十四小時,38,一對時
二崙仔,40007,二崙仔
二崙鄉,35190,二崙鄉
二房,115,二房
二手,85,二手
二手貨,53920,二手貨
二拇指,5040,指指
二林鎮,35158,二林鎮
二氧化碳,53921,二氧化碳
二水,34042,二水
二水,34219,二水
二水鄉,35156,二水鄉
互信,53952,互信
互助,53387,互助
互助會,9608,會仔
互動,50338,互動
互惠,53388,互惠
互相,50427,互相
互相幫忙,5297,相楗
互相擁抱,5319,相攬
互相支持,5297,相楗
互相欺瞞,5309,相瞞
互相洩底,5261,相卸代
互相激怒,5308,相激
互相環抱,5293,相尋
互補,53953,互補
互讓,5320,相讓
五,574,五
五,575,五
五分車,617,五分仔車
五分車,619,五分車
五加皮,642,五加皮
五叉水路,40037,五叉水路
五城堡,40039,五城堡
五堵,34115,五堵
五塊厝,36074,五塊厝
五官,10978,鼻目喙
五官,53954,五官
五峰鄉,35096,五峰鄉
五彩,717,五彩
五指山,32014,五指山
五斗櫃,6167,桌櫃
五星級,53389,五星級
五月節,2791,肉粽節
五福,763,五福
五福宮,39006,五福宮
五穀,768,五穀
五股坑,40038,五股坑
五股鄉,35041,五股鄉
五臟,779,五臟
五花八門,117,十花五色
五花肉,516,三層
五花肉,519,三層肉
五路,759,五路
五金,682,五金
五金行,683,五金行
五香,698,五香
井,576,井
井井有條,1483,四序
井水,622,井水
些微,4902,峇微
些微,11056,屧手縫
些許,7671,略仔
些許,7694,略略仔
些許,10967,頗略仔
些許,291,小可仔
亞太,51805,亞太
亞東醫院,36062,亞東醫院
亞洲,4239,東洋
亞洲,50170,亞洲
亞軍,53549,亞軍
亞運,51806,亞運
亡,185,亡
亡國,53366,亡國
亡魂,514,亡魂
交,2048,交
交,2049,交
交付,53482,交付
交代,2999,吩咐
交代,2067,交代
交保,53483,交保
交割,2087,交割
交力坪,34234,交力坪
交叉,7866,袚
交叉,51196,交叉
交友,50353,交友
交合,5272,相姦
交媾,4147,拍種
交媾,5272,相姦
交尾,4147,拍種
交往,2073,交往
交往,2089,交插
交往,3565,來往
交往,11268,盤撋
交往酬酢,8092,陪綴
交情,2086,交陪
交情,2083,交情
交戰,54040,交戰
交接,2084,交接
交換,2090,交換
交換,12510,壘
交換,5294,相換
交換,10510,對換
交換,2936,兌換
交易,9119,買賣
交易,2075,交易
交易,2074,交易
交會,53484,交會
交椅,2093,交椅
交流,2078,交流
交涉,2082,交涉
交織,52640,交織
交談,52375,交談
交貨,54039,交貨
交通,2085,交通
交配,4147,拍種
交際,12211,應酬
交際,2101,交際
交際,3565,來往
交際,11556,鋪排
交際,11268,盤撋
交際,6879,鬥陣
交際,6083,捙盤
交際往來,2086,交陪
交際應酬,11268,盤撋
交際應酬,8092,陪綴
交響曲,51785,交響曲
交響樂,53485,交響樂
亥,2051,亥
亦,184,也
享受,3564,享受
享有,51645,享有
享用,51966,享用
享福,3587,享福
京劇,3591,京戲
京劇,1751,正音
京戲,1751,正音
京胡,2216,吊鬼仔
亭,4681,亭
亭子,4686,亭仔
亮,2064,光
人,52,人
人,53,人
人,163,人頭
人,41003,人
人不兇,6657,袂歹
人世,53356,人世
人中,82,人中
人事,112,人事
人事局,53922,人事局
人人,69,人人
人倫,128,人倫
人偶,3069,尪
人偶,31112,oo33 lin55 gioo51
人力,112,人事
人力,10095,跤手
人力,78,人工
人力,50494,人力
人力車,7616,牽車
人參,141,人參
人參,7056,參仔
人口,50231,人口
人命,51923,人命
人和,53923,人和
人品,158,人範
人品,4803,品行
人員,129,人員
人士,50063,人士
人壽,52328,人壽
人工,78,人工
人工水路,911,水圳
人影,156,人影
人心,52324,人心
人性,51022,人性
人情,142,人情
人情世故,143,人情世事
人手,10095,跤手
人才,6025,料
人數,129,人員
人數,163,人頭
人數,50808,人數
人文,52325,人文
人望,137,人氣
人格,136,人格
人格,4803,品行
人權,168,人權
人次,52326,人次
人民,1670,民
人民,1774,民眾
人民,93,人民
人氣,145,人望
人潮,50957,人潮
人為,52327,人為
人煙罕至,13638,揜貼
人物,116,人物
人生,94,人生
人種,52907,人種
人緣,137,人氣
人緣,159,人緣
人緣好,2465,有人緣
人群,53357,人群
人脈,127,人面
人質,52102,人質
人身,50956,人身
人造,146,人造
人道,53924,人道
人選,50478,人選
人間,50761,人間
人際,51104,人際
人頭,163,人頭
人類,50149,人類
人馬,139,人馬
人體,50275,人體
什貨,12741,雜貨
什麼,7092,啥
什麼,7137,啥貨
什麼,7125,啥物
什麼,7149,啥潲
什麼人,7106,啥人
什麼樣子,7138,啥款
仁,577,仁
仁丹,610,仁丹
仁和宮,39005,仁和宮
仁德鄉,35246,仁德鄉
仁愛,752,仁愛
仁愛區,35355,仁愛區
仁愛鄉,35178,仁愛鄉
仁慈,753,仁慈
仁武鄉,35257,仁武鄉
仁義,756,仁義
仄,578,仄
仆倒,13045,躄
仇,580,仇
仇,41007,仇
仇,41008,仇
仇人,5766,冤家
仇人,5744,冤仇人
仇恨,5743,冤仇
仇恨,51358,仇恨
今天,638,今仔日
今年,656,今年
今後,50961,今後
今日,638,今仔日
今早,318,下早仔
今晚,472,下暗
今晚,372,下昏
今晚,374,下昏暗
介入,8389,插手
介入,50420,介入
介意,7417,掛意
介紹,727,介紹
介紹,7757,紹介
介面,50814,介面
仍然,8651,猶原
仍舊,5836,原在
仍舊,8651,猶原
仔,1310,仔
仔細,8074,頂真
仕,1311,仕
他,2057,伊
他人,50514,他人
他們,13602,𪜶
他日,4930,後日
他日,1446,另日
他日,2989,別日仔
他日,2988,別日
他處,3019,別搭
他處,2995,別位
他鄉,54745,他鄉
他里霧,40060,他里霧
仗勢,11595,靠勢
仗恃,11595,靠勢
付,1312,付
付出,50422,付出
付款,53440,付款
付款,31063,khan35 jioo51
付費,52358,付費
仙,1313,仙
仙丹,13368,靈丹
仙丹,1326,仙丹
仙人,1324,仙人
仙公廟,39011,仙公廟
仙境,52359,仙境
仙女,1325,仙女
仙姑,1341,仙姑
仙桃,1360,仙桃
