title,radical,non_radical_stroke_count,stroke_count
𪈽,鳥,22,33
𪈾,鳥,24,35
𪈿,鳥,25,36
𪀣,鳥,6,17
𪀤,鳥,6,17
𪉚,鹵,4,15
𪉛,鹵,4,15
𪉜,鹵,5,16
𪉝,鹵,5,16
𪉞,鹵,5,16
𪉟,鹵,5,16
𪀥,鳥,6,17
𪉪,鹵,8,19
𪉫,鹵,8,19
𪉬,鹵,8,19
𪉭,鹵,9,20
𪉮,鹵,9,20
𪉯,鹵,9,20
𪀦,鳥,6,17
𪉺,鹵,11,22
𪉻,鹵,11,22
𪉼,鹵,11,22
𪉽,鹵,11,22
𪉾,鹵,11,22
𪉿,鹵,12,23
𪀧,鳥,6,17
𪊊,鹵,17,28
𪊋,鹿,2,13
𪊌,鹿,2,13
𪊍,鹿,3,14
𪊎,鹿,3,14
𪊏,鹿,4,15
𪀨,鳥,6,17
𪊚,鹿,4,15
𪊛,鹿,5,16
𪊜,鹿,5,16
𪊝,鹿,5,16
𪊞,鹿,5,16
𪊟,鹿,5,16
𪀩,鳥,6,17
𪌊,麥,4,15
𪌋,麥,4,15
𪌌,麥,4,15
𪌍,麥,4,15
𪌎,麥,4,15
